resultId,raceId,driverId,constructorId,grid,race_rank,statusId,year,round,circuitId,constructor_is_active,constructor_races_won,constructor_avg_point,constructor_times_in_top_10,driver_is_active,driver_avg_point,driver_avg_speed,race_end_bf_2019,race_end_in_2019,race_end_in_2020,race_end_in_2021,race_end_in_2022,race_end_in_2023,driver_most_won_circuit_id,driver_nber_of_races_won,driver_nber_of_times_in_top_10,age
36,19,3,3,16,13,11,2008,2,2,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
37,19,19,8,21,18,11,2008,2,2,0,0,0.0,1,0,0.0,200.192,0,0,0,0,0,0,0,0,1,29
38,19,11,8,19,19,12,2008,2,2,0,0,0.0,1,0,0.0,203.46025,0,0,0,0,0,0,0,0,0,31
39,19,6,3,22,17,12,2008,2,2,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
40,19,20,5,15,14,5,2008,2,2,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
41,19,13,6,1,5,20,2008,2,2,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
42,19,16,10,20,20,9,2008,2,2,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
43,19,10,7,10,0,4,2008,2,2,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
44,19,7,5,18,0,20,2008,2,2,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
45,20,13,6,2,3,1,2008,3,3,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
46,20,8,6,4,4,1,2008,3,3,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
47,20,9,2,1,5,1,2008,3,3,0,2,2.442857142857143,50,0,2.9740259740259742,202.40178947368423,39,2,0,1,0,0,7,1,38,24
48,20,2,2,6,2,1,2008,3,3,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
49,20,5,1,5,1,1,2008,3,3,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
50,20,15,7,7,7,1,2008,3,3,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
51,20,17,9,11,8,1,2008,3,3,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
52,20,3,3,8,6,1,2008,3,3,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
53,20,10,7,13,9,1,2008,3,3,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
54,20,4,4,10,13,1,2008,3,3,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
55,20,22,11,12,10,1,2008,3,3,0,0,0.3888888888888889,10,0,1.904109589041096,200.261875,35,0,0,0,0,0,4,2,30,36
56,20,21,10,18,11,11,2008,3,3,0,5,2.589622641509434,183,0,0.2285714285714285,199.1857272727273,12,0,0,0,0,0,0,0,8,35
57,20,1,1,3,19,11,2008,3,3,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
58,20,6,3,16,17,11,2008,3,3,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
59,20,7,5,15,15,11,2008,3,3,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
60,20,19,8,21,14,11,2008,3,3,0,0,0.0,1,0,0.0,200.192,0,0,0,0,0,0,0,0,1,29
61,20,11,8,22,20,11,2008,3,3,0,0,0.0,1,0,0.0,203.46025,0,0,0,0,0,0,0,0,0,31
62,20,14,9,17,16,11,2008,3,3,1,92,11.009803921568627,520,0,0.4444444444444444,199.40666666666667,8,0,0,0,0,0,0,0,5,37
63,20,16,10,20,18,12,2008,3,3,0,5,2.589622641509434,183,0,1.108108108108108,197.7054761904762,35,0,0,0,0,0,14,1,36,25
64,20,12,4,14,12,6,2008,3,3,0,6,2.315028901734104,156,0,0.6785714285714286,198.7402592592593,11,0,0,0,0,0,0,0,10,23
65,20,18,11,9,21,4,2008,3,3,0,0,0.3888888888888889,10,0,5.848837209302325,197.86771084337343,108,0,0,0,0,0,1,8,110,28
66,20,20,5,19,0,5,2008,3,3,0,1,1.053648068669528,192,0,10.58904109589041,204.56381494661923,180,16,9,6,13,0,69,38,236,21
67,21,8,6,1,1,1,2008,4,4,1,54,9.058006535947712,508,0,6.160869565217391,204.48754054054052,133,6,6,5,0,0,1,21,163,29
68,21,13,6,3,2,1,2008,4,4,1,54,9.058006535947712,508,0,5.278688524590164,199.77251123595505,126,0,0,0,0,0,1,7,123,27
69,21,1,1,5,3,1,2008,4,4,1,28,4.759803921568627,350,1,14.529508196721313,205.60281270903008,179,21,16,21,19,12,14,61,276,23
70,21,9,2,4,4,1,2008,4,4,0,2,2.442857142857143,50,0,2.9740259740259742,202.40178947368423,39,2,0,1,0,0,7,1,38,24
71,21,17,9,7,8,1,2008,4,4,1,92,11.009803921568627,520,0,8.647321428571429,200.95721818181815,92,0,0,0,0,0,18,19,91,32
72,21,18,11,13,5,1,2008,4,4,0,0,0.3888888888888889,10,0,5.848837209302325,197.86771084337343,108,0,0,0,0,0,1,8,110,28
73,21,6,3,12,15,1,2008,4,4,1,4,1.7377450980392155,218,0,0.2571428571428571,201.25382352941176,15,0,0,0,0,0,0,0,6,23
74,21,15,7,8,10,1,2008,4,4,0,2,1.65,39,0,0.8819444444444444,194.71521739130435,24,0,0,0,0,0,3,1,21,34
75,21,2,2,9,7,1,2008,4,4,0,2,2.442857142857143,50,0,2.333333333333333,199.68603921568624,35,0,0,0,0,0,2,2,31,31
76,21,21,10,19,14,11,2008,4,4,0,5,2.589622641509434,183,0,0.2285714285714285,199.1857272727273,12,0,0,0,0,0,0,0,8,35
77,21,10,7,14,12,11,2008,4,4,0,2,1.65,39,0,0.5384615384615384,195.47452325581392,24,0,0,0,0,0,12,1,22,26
78,21,14,9,17,11,11,2008,4,4,1,92,11.009803921568627,520,0,0.4444444444444444,199.40666666666667,8,0,0,0,0,0,0,0,5,37
79,21,11,8,22,17,11,2008,4,4,0,0,0.0,1,0,0.0,203.46025,0,0,0,0,0,0,0,0,0,31
80,21,3,3,15,13,5,2008,4,4,1,4,1.7377450980392155,218,0,9.18421052631579,199.97891616766472,132,0,0,0,0,0,1,19,136,23
81,21,4,4,2,9,5,2008,4,4,0,6,2.315028901734104,156,1,6.464150943396226,202.5206679841897,131,0,0,11,12,12,9,12,183,27
82,21,22,11,11,16,4,2008,4,4,0,0,0.3888888888888889,10,0,1.904109589041096,200.261875,35,0,0,0,0,0,4,2,30,36
83,21,5,1,6,6,3,2008,4,4,1,28,4.759803921568627,350,0,0.7894736842105263,196.92963043478264,28,0,0,0,0,0,1,2,25,27
84,21,19,8,21,20,21,2008,4,4,0,0,0.0,1,0,0.0,200.192,0,0,0,0,0,0,0,0,1,29
85,21,7,5,16,19,4,2008,4,4,0,1,1.053648068669528,192,0,0.2222222222222222,199.06923999999995,11,0,0,0,0,0,0,0,9,29
86,21,12,4,10,18,4,2008,4,4,0,6,2.315028901734104,156,0,0.6785714285714286,198.7402592592593,11,0,0,0,0,0,0,0,10,23
