gp_title,year,clean_weather,round
British Grand Prix,2016,"dry,overcast",10
Austrian Grand Prix,2016,cloudy,9
European Grand Prix,2016,"dry,sunny",8
Canadian Grand Prix,2016,"dry,sunny",7
Monaco Grand Prix,2016,sunny,6
Spanish Grand Prix,2016,"dry,sunny",5
Russian Grand Prix,2016,"dry,sunny",4
Chinese Grand Prix,2016,"dry,sunny",3
Bahrain Grand Prix,2016,"dry,clear sky",2
Australian Grand Prix,2016,"dry,cloudy",1
Abu Dhabi Grand Prix,2015,"dry,clear sky",19
Brazilian Grand Prix,2015,dry,18
Mexican Grand Prix,2015,"dry,cloudy",17
US Grand Prix,2015,"wet,cloudy",16
Russian Grand Prix,2015,"dry,cloudy",15
Japanese Grand Prix,2015,"dry,cloudy",14
Singapore Grand Prix,2015,"dry,cloudy sky",13
Italian Grand Prix,2015,partly cloudy,12
Belgian Grand Prix,2015,cloudy,11
Hungarian Grand Prix,2015,sunny,10
British Grand Prix,2015,"cloudy,rain at time",9
Austrian Grand Prix,2015,cloudy,8
Canadian Grand Prix,2015,partly cloudy,7
Monaco Grand Prix,2015,partly cloudy,6
Spanish Grand Prix,2015,sunny,5
Bahrain Grand Prix,2015,"sunny,clear",4
Chinese Grand Prix,2015,dry,3
Malaysian Grand Prix,2015,sunny,2
Australian Grand Prix,2015,parly cloudy,1
Abu Dhabi Grand Prix,2014,clear sky,19
Brazilian Grand Prix,2014,sunny,18
US Grand Prix,2014,sunny,17
Russian Grand Prix,2014,"fine,dry",16
Japanese Grand Prix,2014,rain,15
Singapore Grand Prix,2014,clear sky,14
Italian Grand Prix,2014,sunny,13
Belgian Grand Prix,2014,cloudy,12
Hungarian Grand Prix,2014,overcast,11
German Grand Prix,2014,cloudy,10
British Grand Prix,2014,cloudy,9
Austrian Grand Prix,2014,"partly cloudy,hot,dry",8
Canadian Grand Prix,2014,sunny,7
Monaco Grand Prix,2014,overcast,6
Spanish Grand Prix,2014,sunny,5
Chinese Grand Prix,2014,"mostly cloudy,dry",4
Bahrain Grand Prix,2014,dry,3
Malaysian Grand Prix,2014,dry,2
Australian Grand Prix,2014,overcast,1
Brazilian Grand Prix,2013,dry,19
US Grand Prix,2013,"partly cloud,warm",18
Abu Dhabi Grand Prix,2013,dry,17
Indian Grand Prix,2013,sunny,16
Japanese Grand Prix,2013,"warm,sunny",15
Korean Grand Prix,2013,cloudy,14
Singapore Grand Prix,2013,dry,13
Italian Grand Prix,2013,cloudy,12
Belgian Grand Prix,2013,cloudy,11
Hungarian Grand Prix,2013,sunny,10
German Grand Prix,2013,sunny,9
British Grand Prix,2013,dry,8
Canadian Grand Prix,2013,mild,7
Monaco Grand Prix,2013,"warm,sunny",6
Spanish Grand Prix,2013,sunny,5
Bahrain Grand Prix,2013,sunny,4
Chinese Grand Prix,2013,cloudy,3
Malaysian Grand Prix,2013,"cloudy,dry",2
Australian Grand Prix,2013,"fine,dry",1
Brazilian Grand Prix,2012,rain,20
US Grand Prix,2012,dry,19
Abu Dhabi Grand Prix,2012,dry,18
Indian Grand Prix,2012,dry,17
Korean Grand Prix,2012,"fine,dry",16
Japanese Grand Prix,2012,"fine,dry",15
Singapore Grand Prix,2012,"hot,humid",14
Italian Grand Prix,2012,"dry,sunny",13
Belgian Grand Prix,2012,"fine,dry",12
Hungarian Grand Prix,2012,"fine,dry",11
German Grand Prix,2012,"fine,dry",10
British Grand Prix,2012,dry,9
Spanish Grand Prix,2012,"partly cloudy,dry",8
Canadian Grand Prix,2012,"fine,dry",7
Monaco Grand Prix,2012,"fine,dry",6
Spanish Grand Prix,2012,"parly cloudy,dry",5
Bahrain Grand Prix,2012,"sunny,hot",4
Chinese Grand Prix,2012,overcast,3
Malaysian Grand Prix,2012,rain,2
Australian Grand Prix,2012,fine,1
Brazilian Grand Prix,2011,fine,19
Abu Dhabi Grand Prix,2011,"fine,dry",18
Indian Grand Prix,2011,sunny,17
Korean Grand Prix,2011,"dry,rain",16
Japanese Grand Prix,2011,"sunny,dry",15
Singapore Grand Prix,2011,"hot,humid",14
Italian Grand Prix,2011,sunny,13
Belgian Grand Prix,2011,"cloudy,dry",12
Hungarian Grand Prix,2011,"cloudy,rain",11
German Grand Prix,2011,"cloudy,rain",10
British Grand Prix,2011,dry,9
Spanish Grand Prix,2011,"sunny,fine",8
Canadian Grand Prix,2011,"wet,heavy rain",7
Monaco Grand Prix,2011,"sunny,fine",6
Spanish Grand Prix,2011,"sunny,fine",5
Turkish Grand Prix,2011,"sunny,fine",4
Chinese Grand Prix,2011,"fine,dry",3
Malaysian Grand Prix,2011,"cloudy,dry",2
Australian Grand Prix,2011,sunny,1
